unit_number	unit_name	section_number	section_name	content	level	has_analysis	prerequisites	difficulty_level	difficulty_score	difficulty_confidence	complexity_factors	bloom_level	bloom_confidence	cognitive_processes	educational_standards	cross_disciplinary_connections
Unit 1	Introduction to Physics	1.15	Fundamental Quantities	"Mass, length, time, etc.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units"	undergraduate	Yes	Basic arithmetic operations; Understanding of numbers and decimals; Basic measurement concepts; Simple unit conversion concepts; Basic scientific notation	beginner	2	0.95	Basic mathematical concepts; Fundamental measurement understanding; Simple unit conversions; Abstract nature of defining base quantities	remember	0.95	recall fundamental quantities; recognize base units; identify basic physical measurements; define basic physical quantities	NGSS: HS-PS2-2; AP Physics 1: SP.2; AP Physics 1: 1.A.1	Mathematics (strong); Chemistry (strong); Biology (moderate); Engineering (strong); Philosophy (weak)
Unit 1	Introduction to Physics	1.16	Derived Quantities	"Velocity, force, energy, etc.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units"	undergraduate	Yes	"Basic mathematics (arithmetic operations); Understanding of fundamental units (SI units); Basic measurement concepts; Understanding of base quantities (length, mass, time); Algebraic relationships; Scientific notation; Unit conversion principles"	intermediate	6	0.9	Requires understanding of mathematical relationships; Involves multiple base units and combinations; Need to grasp dimensional analysis; Requires algebraic manipulation skills; Conceptual understanding of how quantities relate	understand	0.9	interpreting; explaining; classifying; comparing	NGSS: HS-PS2-2; AP Physics 1: Science Practice 2; AP Physics 1: 1.A.1	Mathematics (strong); Chemistry (strong); Biology (moderate); Economics (moderate); Engineering (strong)
Unit 1	Introduction to Physics	1.17	SI Base Units	"Kilogram, meter, second, ampere, kelvin, mole, candela.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units"	undergraduate	Yes	Basic numeracy; Decimal system understanding; Basic measurement concepts; Understanding of standard units; Scientific notation basics	beginner	2	0.95	Memorization of seven base units; Understanding what each unit measures; Basic concept recognition; No mathematical operations required	remember	0.95	recall; recognize; identify; list	NGSS: HS-PS2-2; AP Physics 1: SP.5.1; AP Physics C: 1.A	Chemistry (strong); Mathematics (strong); Biology (moderate); Engineering (strong); Computer Science (moderate)
Unit 1	Introduction to Physics	1.18	Fundamental Dimensions	"M, L, T, I, Θ, N, J roles.
**Level**: Undergraduate
**Reference**: College Physics 2e, Chapter 1.2: Physical Quantities and Units; University Physics Volume 1, Chapter 1.4: Dimensional Analysis"	undergraduate	Yes	Basic algebra; Scientific notation; Understanding of physical measurements; Basic metric system knowledge; Understanding of basic physical quantities	beginner	2	0.9	Basic memorization required; Conceptual understanding of measurement units; Simple mathematical relationships; Foundation for more complex topics	remember	0.9	recognizing; recalling; identifying	AP Physics 1: SP.5.1; NGSS: HS-PS2-2; AP Physics C: 1.A	Mathematics (strong); Chemistry (strong); Engineering (strong); Computer Science (moderate); Biology (moderate)
Unit 1	Introduction to Physics	1.19	Dimensional Analysis	"Checking equations (e.g., velocity: [LT⁻¹], force: [MLT⁻²]).
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units; University Physics Volume 1, Chapter 1.4: Dimensional Analysis"	undergraduate	Yes	"Basic algebra; Understanding of SI base units (meters, kilograms, seconds); Knowledge of scientific notation; Understanding of physical quantities (mass, length, time); Basic understanding of unit conversion; Familiarity with square and cubic units"	intermediate	6	0.9	Abstract mathematical concept; Requires understanding of units and their relationships; Needs systematic analytical thinking; Multiple steps in verification process; Requires memorization of basic dimensional units	analyze	0.9	breaking down equations into dimensional components; examining relationships between units; verifying equation consistency; detecting dimensional errors	NGSS: HS-PS2-2; AP Physics 1: Science Practice 2; AP Physics C: 1.A	Mathematics (strong); Chemistry (strong); Engineering (strong); Computer Science (moderate); Economics (moderate)
Unit 1	Introduction to Physics	1.20	Measurement Accuracy	"Closeness to true values.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.3: Accuracy, Precision, and Significant Figures"	undergraduate	Yes	"Basic arithmetic operations; Decimal numbers; Scientific notation; Understanding of units; Basic statistical concepts (mean, average); Rounding rules; Concept of error and uncertainty"	beginner	3	0.9	Understanding difference between accuracy and precision; Basic mathematical concepts of error and uncertainty; Application to real measurements; Connection to significant figures	understand	0.9	interpreting measurements; comparing measured values to true values; explaining measurement errors; distinguishing between accuracy and precision	NGSS: HS-PS1-7; NGSS: Science and Engineering Practices; AP Physics 1: SP.4; AP Physics 1: SP.5.1	Mathematics (strong); Chemistry (strong); Engineering (strong); Biology (moderate); Social Sciences (moderate)
Unit 1	Introduction to Physics	1.21	Measurement Precision	"Consistency of measurements.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.3: Accuracy, Precision, and Significant Figures"	undergraduate	Yes	"Basic arithmetic operations; Decimal numbers; Understanding of averages/mean; Basic statistical concepts (spread, variation); Scientific notation; Units and unit conversion basics"	beginner	3	0.9	Understanding significant figures; Calculating measurement uncertainty; Distinguishing accuracy vs precision; Basic statistical concepts; Systematic vs random errors	analyze	0.9	differentiating between accurate and precise measurements; comparing multiple measurements; detecting patterns in measurement variations; organizing data; determining significant figures	NGSS: HS-PS1-7; AP Physics 1: SP.4; AP Physics 1: SP.5.1	Mathematics (strong); Chemistry (strong); Biology (moderate); Engineering (strong); Computer Science (moderate)
Unit 1	Introduction to Physics	1.22	Significant Figures	"Calculation rules.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.3: Accuracy, Precision, and Significant Figures"	undergraduate	Yes	Basic arithmetic operations; Decimal notation; Place value understanding; Scientific notation; Rounding rules	beginner	3	0.9	Understanding decimal places; Memorizing rules for different operations; Applying rules consistently; Distinguishing between exact and measured numbers	apply	0.9	executing calculations; implementing rules; using procedures; demonstrating accuracy	NGSS: HS-PS1-7; AP Physics 1: SP.5; AP Physics C: Science Practice 6.A	Mathematics (strong); Chemistry (strong); Statistics (moderate); Engineering (moderate); Computer Science (moderate)
Unit 1	Introduction to Physics	1.23	Fermi Calculations	"Order-of-magnitude estimates.
**Level**: Undergraduate
**Reference**: University Physics Volume 1, Chapter 1.5: Estimates and Fermi Calculations"	undergraduate	Yes	Basic arithmetic operations; Scientific notation; Unit conversions; Powers of 10; Basic algebra; Dimensional analysis; Physical quantities and units	intermediate	5	0.9	requires good number sense; needs understanding of scientific notation; involves multiple estimation steps; requires logical reasoning skills; needs basic physics knowledge across various topics	apply	0.9	estimating; calculating; problem-solving; approximating; making assumptions; scaling	NGSS: HS-PS2-1; AP Physics 1: SP.2; AP Physics C: SP.5.1	Mathematics (strong); Economics (moderate); Environmental Science (strong); Computer Science (moderate); Biology (moderate)
Unit 1	Introduction to Physics	1.24	Problem-Solving Strategies	"Systematic approaches.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.2: The Scientific Methods; College Physics 2e, Chapter 4.6: Problem-Solving Strategies; University Physics Volume 1, Chapter 1.7: Solving Problems in Physics"	undergraduate	Yes	Basic algebra; Understanding of units and measurements; Scientific notation; Basic mathematical operations; Reading comprehension; Basic logical reasoning; Understanding of physical quantities (scalar vs vector); Ability to create and interpret diagrams	intermediate	6	0.9	Requires abstract thinking and metacognition; Involves multiple steps and planning; Needs practice to master; Requires integration of multiple physics concepts; Application varies by problem type	apply	0.9	implementing; executing; using; carrying out procedures; following steps; organizing information	NGSS: HS-PS1-7; NGSS: Science and Engineering Practices; AP Physics 1: SP.1; AP Physics 1: SP.2	Mathematics (strong); Computer Science (strong); Engineering (strong); Psychology (moderate); Philosophy (moderate)
Unit 1	Introduction to Physics	1.25	Foundational Tools		undergraduate	Yes	Basic algebra; Fundamental mathematics operations; Scientific notation; Unit conversion skills; Basic geometry concepts; Understanding of ratios and proportions; Basic graphing skills	beginner	2	0.9	Basic mathematical operations; Fundamental physics concepts; Introduction to scientific notation; Basic problem-solving methods	understand	0.7	interpreting; recognizing; identifying; recalling; classifying	NGSS: HS-PS1-7; NGSS: HS-PS2-2; AP Physics 1: SP.5	Mathematics (strong); Computer Science (moderate); Engineering (moderate); Statistics (strong)
Unit 1	Introduction to Physics	1.25.1	Unit Conversions	"Meters to centimeters, etc.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units; University Physics Volume 1, Chapter 1.3: Unit Conversion"	undergraduate	Yes	"Basic arithmetic operations (multiplication, division); Understanding of decimal numbers; Basic understanding of ratios and proportions; Knowledge of metric prefixes (kilo-, centi-, milli-, etc.); Understanding of equality and equivalence"	beginner	2	0.95	Basic arithmetic operations; Understanding of metric prefixes; Multiplication/division by powers of 10; Dimensional analysis concept	apply	0.9	executing calculations; implementing conversion factors; carrying out mathematical procedures; converting between measurement systems	NGSS: HSN.Q.A.1; AP Physics 1: SP.2.2; Common Core: HSN-Q.A.1	Mathematics (strong); Chemistry (strong); Engineering (strong); Economics (moderate); Geography (moderate)
Unit 1	Introduction to Physics	1.25.2	Fundamental Constants	"Planck’s constant, speed of light.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units; University Physics Volume 1, Appendix C: Fundamental Constants"	undergraduate	Yes	Scientific notation; SI units and unit conversions; Basic algebra; Understanding of measurement and significant figures; Basic understanding of waves and frequency; Basic understanding of electromagnetic radiation	intermediate	5	0.9	Abstract nature of constants; Requires understanding of scientific notation; Need to grasp units and dimensions; Historical context and significance; Applications across multiple physics domains	remember	0.95	recognizing; recalling; memorizing	NGSS: HS-PS4-3; AP Physics 1: 1.A.5.1; AP Physics C: Science Practice 2	Chemistry (strong); Mathematics (strong); Astronomy (strong); Philosophy (moderate); Computer Science (moderate); Engineering (strong)
Unit 1	Introduction to Physics	1.25.3	Mathematical Formulas	"Essential equations.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 1.2: Physical Quantities and Units; University Physics Volume 1, Appendix E: Mathematical Formulas"	undergraduate	Yes	Basic algebra; Understanding of variables and constants; Basic arithmetic operations; Order of operations (PEMDAS); Basic geometry concepts; Scientific notation; Understanding of units and measurements; Basic trigonometry (for some formulas)	intermediate	6	0.85	Requires strong mathematical foundation; Involves multiple types of equations and formulas; Needs understanding of algebraic manipulation; Requires ability to translate between words and mathematical symbols; Must recognize when and how to apply different formulas	remember	0.9	recalling formulas; recognizing mathematical expressions; memorizing equations; identifying units and variables	NGSS: HS-PS1-7; NGSS: HS-PS2-2; AP Physics 1: SP.2; AP Physics C: 1.E.1	Mathematics (strong); Computer Science (moderate); Chemistry (strong); Engineering (strong); Biology (moderate)
Unit 2	Mechanics	2.1	Scalars	"Definition, examples.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 1.3: The Language of Physics: Physical Quantities and Units; College Physics 2e, Chapter 2.2: Vectors, Scalars, and Coordinate Systems"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.2	Vectors	"Properties, notation.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 5.1: Vector Addition and Subtraction: Graphical Methods; College Physics 2e, Chapter 2.2: Vectors, Scalars, and Coordinate Systems"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.3	Vector Addition	"Graphical, analytical methods.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 5.1: Vector Addition and Subtraction: Graphical Methods; College Physics 2e, Chapter 3.2: Vector Addition and Subtraction: Graphical Methods"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.4	Vector Subtraction	"Subtraction techniques.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 5.1: Vector Addition and Subtraction: Graphical Methods; College Physics 2e, Chapter 3.2: Vector Addition and Subtraction: Graphical Methods"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.5	Vector Components	"Cartesian resolution.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 5.2: Vector Addition and Subtraction: Analytical Methods; College Physics 2e, Chapter 3.3: Vector Addition and Subtraction: Analytical Methods"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.6	Coordinate Systems	"Cartesian, polar, spherical.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 5.1: Vector Addition and Subtraction: Graphical Methods; College Physics 2e, Chapter 2.2: Vectors, Scalars, and Coordinate Systems"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.7	Position	"One-dimensional location.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 2.1: Relative Motion, Distance, and Displacement; College Physics 2e, Chapter 2.1: Displacement"	undergraduate	Yes				0.85			0.85			
Unit 2	Mechanics	2.8	Displacement	"Position change.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 2.1: Relative Motion, Distance, and Displacement; College Physics 2e, Chapter 2.1: Displacement"	undergraduate	Yes	Coordinate systems (number lines and 2D coordinates); Basic arithmetic operations; Vector basics (direction and magnitude); Understanding of reference points/frames; Distance concept; Basic algebra	beginner	2	0.9	Vector quantity understanding; Difference from distance concept; Basic vector arithmetic; Coordinate system usage	understand	0.9	interpreting position changes; explaining vector quantities; distinguishing between distance and displacement; summarizing motion concepts	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics 1: 3.A.1.1	Mathematics (strong); Geography (strong); Biology (moderate); Computer Science (moderate); Earth Science (moderate)
Unit 2	Mechanics	2.9	Average Velocity	"Displacement over time.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 2.2: Speed and Velocity; College Physics 2e, Chapter 2.3: Time, Velocity, and Speed"	undergraduate	Yes	Distance and displacement concepts; Basic vector quantities; Time measurement and units; Basic algebra; Graphing skills; Position and reference frames	beginner	2	0.95	Basic mathematical division; Understanding of displacement vs distance; Vector nature of velocity; Simple graphical interpretation	understand	0.9	interpreting; explaining; classifying; calculating simple examples	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics 1: 3.A.1.1	Mathematics (strong); Biology (moderate); Geography (strong); Computer Science (moderate); Economics (moderate)
Unit 2	Mechanics	2.10	Instantaneous Velocity	"Velocity at a moment.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 2.2: Speed and Velocity; College Physics 2e, Chapter 2.3: Time, Velocity, and Speed"	undergraduate	Yes	"Position and displacement; Basic algebra; Understanding of time as a variable; Average velocity; Limits (basic concept); Graphical interpretation of position vs. time; Differentiation (optional, depending on level)"	intermediate	6	0.9	requires calculus concepts (derivatives); abstract concept of 'instantaneous' moment; graphical interpretation skills needed; understanding of limits; distinction from average velocity	understand	0.9	interpreting; explaining; distinguishing; comparing	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics C: Mechanics: 1.A	Mathematics (strong); Biology (moderate); Computer Science (moderate); Economics (moderate); Sports Science (strong)
Unit 2	Mechanics	2.11	Speed	"Scalar motion measure.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 2.2: Speed and Velocity; College Physics 2e, Chapter 2.3: Time, Velocity, and Speed"	undergraduate	Yes	Basic arithmetic operations; Understanding of measurement units; Distance and displacement concepts; Basic number line and positive/negative numbers; Understanding of time measurement; Simple ratios and proportions	beginner	2	0.95	Basic mathematical operations; Simple concept of distance over time; Scalar quantity (no direction); Familiar from everyday experience	understand	0.9	interpreting; explaining; classifying; calculating basic speed values	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics 1: 3.A.1.1	Mathematics (strong); Chemistry (moderate); Biology (moderate); Computer Science (moderate); Earth Science (strong)
Unit 2	Mechanics	2.12	Average Acceleration	"Velocity change over time.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 3.1: Acceleration; College Physics 2e, Chapter 2.4: Acceleration"	undergraduate	Yes	Understanding of distance and displacement; Understanding of speed and velocity; Basic time measurements; Positive and negative numbers; Basic algebraic operations; Slope calculations; Vector quantities; Reading and interpreting graphs; SI units and unit conversion	beginner	3	0.9	Basic mathematical operations; Understanding of time intervals; Interpretation of positive/negative values; Vector vs scalar concepts; Graph interpretation skills	understand	0.9	interpreting; explaining; classifying; comparing	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics 1: 3.A.1.1	Mathematics (strong); Biology (moderate); Economics (moderate); Computer Science (strong); Environmental Science (moderate)
Unit 2	Mechanics	2.13	Instantaneous Acceleration	"Momentary acceleration.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 3.1: Acceleration; College Physics 2e, Chapter 2.4: Acceleration"	undergraduate	Yes	Position and displacement; Velocity concepts; Instantaneous velocity; Average velocity; Basic differentiation; Time concepts; Vector quantities; Graphical interpretation	intermediate	6	0.9	Requires calculus concepts (derivatives); Abstract mathematical thinking; Understanding of infinitesimal time intervals; Multiple mathematical representations; Connection between graphical and mathematical interpretations	understand	0.9	interpreting; explaining; describing; distinguishing	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics C: Mechanics: 1.C	Mathematics (strong); Chemistry (moderate); Biology (moderate); Economics (weak)
Unit 2	Mechanics	2.14	Constant Acceleration Motion	"Kinematic equations.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 3.2: Representing Acceleration with Equations and Graphs; College Physics 2e, Chapter 2.5: Motion Equations for Constant Acceleration in One Dimension"	undergraduate	Yes	Basic algebra; Understanding of velocity; Understanding of displacement; Basic vector concepts; Graph interpretation; Basic differentiation and integration (for derivations); Understanding of time as a variable; Units and dimensional analysis	intermediate	6	0.9	Requires algebraic manipulation; Multiple equations to memorize; Abstract concept of acceleration; Need to choose appropriate equation for specific scenarios; Vector nature of motion	apply	0.9	using mathematical procedures; solving quantitative problems; implementing learned formulas; executing known procedures; calculating solutions	NGSS: HS-PS2-1; AP Physics 1: 1.A.1.1; AP Physics 1: 3.A.1.1	Mathematics (strong); Computer Science (moderate); Biology (moderate); Economics (weak); Engineering (strong)
